Category,Resume_Details,experience_years,skills
Peoplesoft,anubhav kumar singh globally competitive assignments shall yield twin benefits job satisfaction growth current hcl current admin offshore shell linux peoplesoft administration github peoplesoft hcm peoplesoft fscm production environments along environments windows day day activities migration database refresh admin changes tax updates etc scheduler weblogic middleware cpu patches shell method exchange files external systems installation setup per requirement vulnerabilities security renewal ssl weblogic vulnerability remediation vulnerability rmis pum peoplesoft update manager installation dpk ansible docker new shell scripts shell script failures techmahindra automation devops peoplesoft admin shell linux peoplesoft administration jenkins ansible upgrade hcm upgrade migration ntt cloud aws cloud shell requirement ansible jenkins start stop activities basic docker ssl certificates new elastic search configuration peoplesoft aws resources strong unix architecture command trouble unix linux platform efficient configuration deployment tool ansible job via crontab ibm workload scheduler tws automation shell continuous jenkins jenkins ansible playbook perform task administration tasks installation configuration performance issue weblogic cpu patches vulnerabilities security platform certification products platforms database browsers products peopletools migration aws amazon installation peoplesoft components scheduler tuxedo logic new release peopletools unix linux latest patch peopletools change assistant upgrade passes peopletools upgrade job peopletools upgrade performance monitor new app scheduler domains post upgrade new linux severs common domain boot problems source target databases hcm upgrade hcm pum images change packages pum source target databases per requirement upgrade job change assistant srdt pvt ltd srm group peoplesoft database admin peoplesoft administration weblogic tuxedo app designer pum peopletools upgrade peoplesoft campus upgrade production environments environments windows oracle possess peoplesoft architecture peoplesoft components scheduler tuxedo logic pia peoplesoft internet architecture broker nodes issues technical issues peoplesoft migrations production exposure peoplesoft bundle updates change assistant exposure linux environments oracle database broker dev pre_prod prod environments scheduler production environments installation database peoplesoft hrms hrms tool ses secure enterprise search hrms instance oracle policy automation oracle policy opa database database oracle single sign peoplesoft peoplesoft interaction hub integrate external content peoplesoft tool campus tool finance pum peoplesoft update manager new image tax updates bugs change packages pum oracle database dbua instances provide environments upgrade status sheets offshore self certificate weblogic provide secure port access instances set terminal provide central access technical developers tickets get resolution error drdo single sign peoplesoft admin tool hrms fscm description single sign_on sso property access control multiple independent software systems property logs single password gain access systems without different usernames passwords netapp maintenance peoplesoft admin peopletool hrms description issue clear scheduler cache per maintenance psadmin activities acs father name rajeev kumar singh sex male language read write hindi english ready relocate electrical electronic,11 years,"['ansible', 'aws', 'change assistant', 'docker', 'github', 'ib', 'integration broker', 'jenkins', 'linux', 'oracle', 'oracle 11g', 'peoplesoft fscm', 'peopletools', 'pia', 'process scheduler', 'shell scripting', 'tuxedo', 'tws', 'unix', 'windows']"
Peoplesoft,peoplesoft database administration human capital hcm financials campus solutions portal ihub expertise installation configuration setup security peoplesoft internet architecture pia in_depth analysis implementation stages load quality assurance extensive exposure peoplesoft environments peoplesoft components capability analyse interpret unique problems combination logical find right solutions competencies peoplesoft implementation peoplesoft performance issues migration installation configuration peoplesoft components pum dpk install configure upgrades expertise patches updates via change assistant tool tax updates elastic search install configure peoplesoft refreshes broker setup configuration workflow peoplesoft log files search bottleneck peoplesoft security passwords middle tier components oracle quarterly security patches change assistant apply fixes patch sets peoplesoft cloud infrastructure_iaas aws_ec2 cloud manager_lift shift cloud idc sol pvt ltd multiple texas department transportation txdot duration peoplesoft dba hrms fscm tuxedo weblogic oracle migration oracle security java wls middle tier components tuxedo weblogic jdk java peoplesoft database refresh scheduler performance issues developer issues passwords cache maintenance documentation non prod prod refresh safalta infotech pvt ltd multiple texas systems uts papa jones duration peoplesoft dba hrms fscm campus solutions portal solutions weblogic oracle complete peoplesoft life cycle scratch production go_live activities peoplesoft internet architecture pia demo test production instances psadmin utility create app scheduler webserver domains middle tier components tuxedo weblogic jdk java peoplesoft database refresh peoplesoft activities migration designer workflow peoplesoft log files search bottleneck scheduler performance issues developer issues passwords resolutions production issues cache maintenance setup broker gateway nodes documentation entire configuration audit reviews sys ddd audit inconsistency migration production moves load webserver tiers hands pum dpk images change packages fixes bugs change assistant download updates apply target environments install configure search oracle cpu security patches nprod prod environments instances verification tests database refresh activities upgrade release install configure dpk images peoplesoft change packages bugs fixes tax updates issues issues production nprod environments multiple daytona state dsc algonquin canada duration peoplesoft dba implementation production hrms fscm portal functional acceptance demo module hcm fscm pihub peoplesoft demo production instances domains batch scheduler issues scheduler domains windows connect database administration purposes download updates implementation install configure change assistant bundles fixes upgrade change assistant download updates apply environments maintain customization peoplesoft enable pia page configuration manager database pre post refresh activities setup broker gateway nodes audit reviews sys ddd audit inconsistency verity search technical issues issues production nprod environments peoplesoft oracle logic unix windows peoplesoft admin dba dba effective player interaction quick learner new concepts bachelors computer science anil neerukonda institute sciences andhra awards delight award best performance sport award csat score end father name ananda rayudu marital status single pan avqpg passport hereby declare true best ananda,7+ years,"['application designer', 'aws', 'change assistant', 'ec2', 'ib', 'integration broker', 'java', 'oracle', 'oracle 12c', 'peoplesoft security', 'pia', 'process scheduler', 'tuxedo', 'unix', 'windows']"
Peoplesoft,peoplesoft database administrator gangareddy best talent abreast latest technical advancement field peoplesoft dba derive utmost job satisfaction field become successful oracle peoplesoft dba activities peoplesoft admin dba domains multiple domains separate host systems access one database effective strategy performance administration availability failover multiple domains across multiple hosts peoplesoft administration expertise installation configuration setup database peoplesoft internet architecture pia objects extensive tax updates patches fixes bundles maintenance packs peoplesoft administrator performance problems sqr app engine sql index creation migration change extensive production database changes production patches peoplesoft timely basis batch peoplesoft administration expertise installation configuration setup database peoplesoft internet architecture pia objects jobs security administration batch backup per backup strategy rman rman take backup sql databases regular off_line logical backups backups logical backups exp imp datapump successfully oracle ses peoplesoft configuration ssl certificate weblogic successfully pum peoplesoft update manager technical erp package peoplesoft hrms fscm crm hcm portal versions peopletools bea tuxedo oracle tuxedo bea weblogic oracle weblogic databases oracle ms_sql rhel oel oel windows emergtech solutions india pvt ltd amerit fleet solutions duration database peoplesoft administrator dba peoplesoft hcm fscm crm elm portal pt oracle rhel windows successfully logic components database windows systems successfully oracle ses peoplesoft installation database environments configuration ssl certificate weblogic daily production administration activities perform pro_active members successfully peoplesoft update manager pum tasks patches fixes production purpose patches bundles peoplesoft database unix systems oracle database databases updates fixes patches backup timely basis kept record updates fixes patches batch scheduler windows connect database administration purposes dbs duration database peoplesoft administrator dba peoplesoft fscm pt rhel windows dbs webservers batch scheduler extensively psadmin utility administer create delete scheduler queue status several tuxedo domains configuration file performance specific cache regular basis maintenance setup trace logs levels logfence parameter domain section file trace logs manager sql code etc enable trace parameter files scheduler multiple logic instances care security issues additional security groups care setup snap shots backup mutli factor authentication setup terms performance take care migrations script executions document preparation issues steps issues,4+ years,"['ae', 'app engine', 'db2', 'oel', 'oracle', 'oracle 10g', 'peoplesoft fscm', 'peoplesoft hrms', 'peopletools', 'pia', 'process scheduler', 'sql', 'sqr', 'tuxedo', 'unix', 'windows']"
Peoplesoft,murali peoplesoft administration infrastructure activities peoplesoft environments peoplesoft database scheduler platforms domains scheduler patches manually maintenance packs change assistant tool dpks installations tax updates fixes pum designer capi stat single sign sso implementation compare pre post migrations workstation developers testers configuration broker modules messages production audit dddaudit sysaudit integrity checks setup ren nodes settings clear cache scheduler peopletools upgrade elastic search sembcorp description production hrms maintenance enhancement installation setup soft hcm elm oracle database roles privileges soft instances issues scheduler weekly database maintains upgrade post refresh activities wipro ind platforms soft hcm description production hrms maintenance enhancement installation setup soft hcm oracle database roles privileges soft instances issues scheduler weekly database maintains mover scripts capi patches peoplesoft production issues tax updates pum post refresh activities soft hcm production enhancement asg usa platforms soft hcm aix description production hrms maintenance enhancement installation setup soft hcm database roles privileges soft instances issues scheduler weekly database maintains mover scripts stat capi patches peoplesoft production issues tax updates pum post refresh activities hyderabad infotech peoplesoft administrator regency peoplesoft administrator dxc formerly known csc peoplesoft administrator systems windows platforms linux erp peoplesoft hrms peopletools putty sql toad beyond compare rdbms oracle tool autosys version control tool capi stat languages c++ sql,6 years,"['aix', 'application designer', 'c', 'change assistant', 'data mover', 'db2', 'integration broker', 'linux', 'oracle', 'oracle 10g', 'peoplesoft hrms', 'peopletools', 'process scheduler', 'sql', 'toad', 'unix', 'windows']"
Peoplesoft,priyanka ramadoss mountpleasant coonoor nilgiris excel software utilize diligence dedication ensure maximum contribution growth adept present peoplesoft admin accenture peoplesoft administrator peoplesoft administration finance proficient peoplesoft components schedulers non production databases knowledgeable peoplesoft migrations designer mover compare codes dev test production environments usage ppm tool well perform peoplesoft migrations compare generation full life cycle installation peoplesoft environments pre post database refresh activities change package creation bug fixes change assistant peoplesoft proficient administration peoplesoft components scheduler webserver peoplesoft internet architecture basic peoplesoft configurations broker setup pum setup ssl file attachments trouble hands security level activities roles permission list sso login creation certificates sox checks migrations part production releases basis conversant usage control_m tool jobs batch setup level control_m jobs production environments peoplesoft batch implementation change assistant patches change packagees target databases online unix delphix virtual databases non production database refreshes maintenance activities communication leadership abilities problem vmware itbm associate infrastructure itbm apache tomcat vmware itbm versions windows ssl configuration complete batch setup windows envrironment production non production databases itbm key achievements infrastructure production environments provide contingency plans analyze technical functional aspects troubleshoot problems requirements analysis activities accenture solutions pvt ltd credit suisse description credit suisse group global wealth manager investment bank financial investment provate asset administration financial location bangalore duration present systems windows solaris linux hat version apache tomcat aws compute storage networks databases identity access odyssey dashboard odyssey jira transporter databases sql developer peoplesoft peoplesoft fscm version designer mover delphix virtual database configuration manager change assistant sqr n_vision control_m scheduler ppm sql developer centrify putty configuration manager course school board year percentage ece sri krishna coimbatore anna hsc bharathi vidya bhavan erode state board technical school topper joseph convent anglo girls higher secondary school nilgiris anglo_indian district third ootacamund ooty tamil nadu district tamil native english comprehension oral kannada intermediate oral hindi intermediate sanskrit intermediate languages books yoga hobbies,4.11 years,"['apache', 'application designer', 'aws', 'c', 'change assistant', 'data mover', 'integration broker', 'jira', 'linux', 'peoplesoft security', 'process scheduler', 'service now', 'sql', 'sql developer', 'sqr', 'unix', 'windows']"
Peoplesoft,overall years peoplesoft administrator peopletools scratch products hrms fscm deterministic approach towards problem proficient broker fscm hcm peopletools peopletools b_tech electronics communication engg vizianagaram jntuk aggregate marks standard standard achievements bravo pat back award innovator month time spot pat back capgemini production finance respective non production environments name axa consultant windows cognizant technol ogy sol ions augus voya financial insurance deals finance name voya financials associate windows tech mahindra limit augus peoplesoft fin peoplesoft implementation includes peoplesoft interfaces third_party interfaces live production peoplesoft sdlc name cio common software engineer solaris windows administrative supports peoplesoft version hrms financials scm modules windows unix creation indexes designer peoplesoft database setup issues peoplesoft admin activities peoplesoft scheduler domains setup master scheduler oracle tuxedo weblogic java disk fscm hcm oracle database unix windows scratch peopletools hcm fscm demo database fscm peopletools peopletools patch fscm nodes app schedulers cache pre_refresh post refresh activity database activity recompilation cobol source codes migrations designer change assistant image fscm pum change assistant hands_on designer mover change assistant aware pia peoplesoft internet architecture broker nodes udm file transfer interfaces gnupg keys certificates search peopletools designer mover toad sqldeveloper microsoft sql studio oracle oracle microsoft sql filezilla winscp pcomm tws silva certifications oracle cloud infrastructure architect associate oracle cloud infrastructure architect,6.8 years,"['application designer', 'change assistant', 'cobol', 'data mover', 'filezilla', 'integration broker', 'java', 'oracle', 'oracle 11g', 'oracle 12c', 'pcomm', 'peopletools', 'pia', 'process scheduler', 'service now', 'sql', 'toad', 'tuxedo', 'tws', 'unix', 'windows', 'winscp']"
Peoplesoft,peoplesoft administrator peoplesoft administrator ample peoplesoft installations configurations security administration adept peoplesoft database administration dba human resource hrms financial systems thorough peoplesoft components peoplesoft scheduler tuxedo logic pia peoplesoft internet architecture broker sql issues technical issues etc peoplesoft software workstations scheduler tuxedo pia repository nodes peoplesoft elastic search peoplesoft solid peoplesoft technical architecture proficient administer patches updates upgrades develop implement plans migration pum tax updates pum maintenance peoplesoft pure internet architecture logic tuxedo possess thorough peoplesoft architecture peoplesoft administration suite corporation specific needs cobol installation cobol issues broker setup modules instance verification test refresh production integrity dddaudit sysaudit phases create implement security administration procedures sql oracle databases functional technical specifications administrative duties autosys maintenance activities scheduler tool upgrade upgrade peoplesoft jobs job console tool new jobs jobs per requirement issues junior employees peoplesoft administration tasks migrations security requests per orders sent source target databases peoplesoft online offline adaptive cloud strategies aws aws cloud platform features includes ec vpc ebs cloud watch load balancers iam qualification bachelor cse jntu technical currently peoplesoft admin tech mahindra mahindra satyam peoplesoft dba hexaware unix windows 64bit database level hrms version nissan peopletools upgrade hcm fscm apps dba basis strong peoplesoft pum installation fixes patches bundles peoplesoft fscm hrms peoplesoft pum security patches weblogic releases cpu setup master slave load balance pub sub intensively performance pia architecture load architecture load broker gateway message volume high easy maintenance elastic search peoplesoft deployment peoplesoft dpk peoplesoft release patches prp peoplesoft images webserver oracle weblogic patches oracle tuxedo patches code changes production environments high availability load peoplesoft internet architecture build verification test check proper installation maintenance complex solutions tasks patches fixes build verification test check proper installation peoplesoft components load database refreshes imports exports backups object migration different instances compare objects etc scheduler errors check status success etc error log check ran success perform remote call test check broker check ren clusters check disk space load level peoplesoft acceptable level status activities logs daily perform migrations migrations generate compare environments cache scheduler regular basis maintenance maintain workflow peoplesoft download updates apply environments maintain customizations peoplesoft download peoplesoft update image apply patches tax updates change assistant apply pum image perform setup environments hrms fscm integrity internal consistency database dddaudit sysaudit alteraudit periodically jolt failover load domains scheduler domains performance databases multiple domains across instances monitor log files find bottleneck status troubleshoot mover peoplesoft jobs queue maintain troubleshoot scheduler peoplesoft instances twice thrice unix windows 64bit database level hrms fscm bcbsla migration sqr sql execution take care migration peoplesoft objects check physical condition daily status condition cache regular basis maintenance several database database production successful scheduler weekly database refresh expertise installation configuration setup peoplesoft internet architecture pia setup broker peoplesoft instances third party analytical individual communication natural ability database oracle dump schema level space level long awr addm long sql install patches install change assist apply bundles hcm fscm troubleshoot fix performance issues unix windows 64bit database level hrms fscm techmahindra internal migration sqr sql execution take care migration peoplesoft objects check physical condition daily status condition cache regular basis maintenance deployment packages dpk pum update images installation several database database production successful scheduler weekly database refresh expertise installation configuration setup peoplesoft internet architecture pia setup broker peoplesoft instances third party analytical individual communication natural ability database oracle dump schema level space level long awr addm long sql install patches install change assist apply bundles elm hcm esa troubleshoot fix performance issues solaris windows database level hrms windows unix starhub upgrade peoplesoft download template connection create job change assistant run change assistant steps upgrade run compare take customization functionality upgrade apply fixes updates patches demo dev test production take care migration peoplesoft objects install change assistant copy production initial pass move production upgrade prepare maintain documentation entire upgrade backup databases copy current demo new release demo databases run audits dddaudit sysaudit alteraudit configuration broker gateway nodes finance migration external objects peoplesoft sqr nvision crystal cobol files integrity internal consistency database dddaudit sysaudit alteraudit periodically jolt failover load domains scheduler domains performance databases multiple domains across instances monitor log files find bottleneck status troubleshoot mover peoplesoft jobs queue maintain troubleshoot scheduler solaris windows 64bit database level hrcs minacs bangalore peoplesoft database solaris systems document prepare architecture enable prepare necessary infrastructure facilitate proper peoplesoft hcm sql connection database browser requests windows peoplesoft uses tuxedo manage database transactions jolt tuxedo counterpart facilitate transaction requests internet tuxedo jolt products bea systems cache regular basis maintenance books access books copy production database tasks run audit dddaudit sysaudit several database database production successful installation oracle rac solaris installation oracle gateway replicate sql expertise installation configuration setup peoplesoft internet architecture pia setup broker peoplesoft instances third party oracle rac datagaurd oracle gateway analytical individual communication natural ability database oracle dump schema level space level long awr addm long sql installation license updation cobol aix lintel install patches install change assist apply bundles elm hcm esa troubleshoot fix performance issues pum creation change packages unix windows 64bit database level fscm pt health care migration sqr sql execution take care migration peoplesoft objects check physical condition daily status condition cache regular basis maintenance several database database production successful scheduler expertise installation configuration setup peoplesoft internet architecture pia setup broker peoplesoft instances third party analytical individual communication natural ability long awr addm long sql installation license updation cobol aix lintel install patches install change assist apply bundles elm hcm esa troubleshoot fix performance issues windows 64bit database level hrcs qatar qfis description implementation peoplesoft hrms student adminissions transcripts campus self peoplesoft hcm tuxedo logic pia pia instances demo dev test config prod databases configuration broker gateway nodes documentation installation configurations expertise installation configuration setup peoplesoft internet architecture pia setup broker peoplesoft instances third party analytical individual communication natural ability long awr addm long sql installation license updation cobol aix lintel install patches install change assist apply bundles elm hcm esa troubleshoot fix performance issues pum creation change packages databases updates fixes patches backup timely basis kept record updates fixes patches batch scheduler windows connect database administration purposes bea tuxedo database peoplesoft demo databases database patches patches extensively psadmin utility administer create delete scheduler cache regular basis maintenance books access books copy production database tasks run audit dddaudit sysaudit peoplesoft peoplesoft version designer engine code mover scheduler peoplesoft pum images sqr query xml publisher weblogic tuxedo tuxedo databases oracle oracle systems windows unix linux,10+ years,"['aix', 'application designer', 'application engine', 'aws', 'change assistant', 'cobol', 'data mover', 'ec2', 'integration broker', 'linux', 'nvision', 'oracle', 'oracle 10g', 'oracle 11g', 'oracle 12c', 'peopletools', 'pia', 'process scheduler', 'ps query', 's3', 'sql', 'sqr', 'tuxedo', 'unix', 'windows', 'xml']"
Peoplesoft,peoplesoft admin varkala vikas total years peoplesoft admin peoplesoft dba hope enhance set value enable implementation solutions aid needs interests motivations deliver time budget quality value agility quality reliability peoplesoft implementation upgrades configuration migrations maintenance administration domains scheduler domains pum search upgrades infrastructure hardware upgrades disaster recovery activities secure ssl administration monitor shell scripts oracle database administration health check peoplesoft environments peoplesoft database refreshes production environments windows administration peoplesoft internet architecture pia demo test production instances extensively performance issues peoplesoft installations peopletools hcm weblogic tuxedo books windows depth peoplesoft update manager pum peopletools patches bundles peopletools hrms fscm depth setup secure socket layer ssl implementation peoplesoft proficiency creation configuration administration domains scheduler domains domains reconfiguration domains scheduler domains domains migrations designer migrations mover pre_compare post compare environments station developers testers developer issues passwords accounts maintain workflow peoplesoft patches bundles tax updates change assistant peoplesoft update manager pum change assistant apply bundles tax_updates setup configuration broker financials hcm integrity internal consistency database dddaudit sysaudit alteraudit periodically cache domains domains scheduler regular basis monitor log files find bottleneck status domains scheduler domains domains regularly database peoplesoft instances cobol software compilation domains scheduler domains domains depth peoplesoft database performance guard database peoplesoft database refreshes rman player proven individual contributor area technical educational qualification osmania peoplesoft administrator peoplesoft dba progile infotech pvt ltd achievement hartford insurance group hartford install configure production peoplesoft databases oracle tuxedo oracle weblogic windows oracle enterprise linux peoplesoft admin peoplesoft dba duration roles build verification test check proper installation peoplesoft components object migration different instances compare objects etc implementation peoplesoft internet architecture pia batch security tasks new roles permission lists privileges tasks patches fixes workstation peoplesoft developers peopletools designer mover scheduler psadmin utility migration peoplesoft dev test prod instances analysis production issues solutions node configurations migrations migrations compare patches tax updates environments maintains customizations peoplesoft patches bundles tax updates change assistant peoplesoft update manager pum change assistant apply change packages tax_updates patches demo dev test production environments scheduler issues performance databases multiple domains across instances domains scheduler domains domains configure https secure ssl administration setup load balancer configuration setups master scheduler set high availability systems migration pump mover utilities load setup security roles permission lists peoplesoft test synchronisation production integrity internal consistency database dddaudit sysaudit alteraudit periodically production cache regular basis maintenance books access books nodes settings compare environments issues resolutions feedback erp change assistant broker designer configuration manager peoplesoft update manager pum ses mover peoplesoft hrms fscm crm tuxedo 12c 12c weblogic systems windows oracle enterprise linux hp_ux database oracle,4.2 years,"['application designer', 'change assistant', 'cobol', 'data mover', 'integration broker', 'linux', 'oracle', 'oracle 12c', 'peoplesoft hrms', 'peopletools', 'pia', 'process scheduler', 'tuxedo', 'windows']"
Peoplesoft,vinod akkala peoplesoft dba admin peoplesoft admin dba implementation peoplesoft hcm fscm modules oracle database systems peoplesoft internet architecture pia demo dev test production instances configuration domains scheduler setup installation configuration oracle 12c databases unix linux migration migration compare environments patches bundles tax updates change assistant apply bundles tax updates integrity internal consistency database dddaudit sysaudit alteraudit periodically broker setup patches bundles tax updates change assistant peoplesoft update manager pum upgrade peoplesoft refreshes peoplesoft security cobol compilation windows load domains scheduler domains books access books scheduler regular backup recovery oracle database logical physical backups database patches capacity spaces database oracle versions database refreshes linux admin rman configuration database security roles hot cold backups developer issues passwords database size file spaces files spaces control files pump domains scheduler domains domains key skils educational qualification masterof computer sri venkateswara tirupati andhra pradesh peoplesoft database administrator infosys bangalore till parent company_gem source india peoplesoft database administrator sify bangalore peoplesoft database administrator wipro bangalore peoplesoft administrator peoplesoft dba sonata software bangalore peoplesoft dba moonstone infotech pvt ltd hyderabad fscm hrms peoplesoft dba basis peoplesoft database administrator fscm hrms environments oracle 12c peoplesoft dba hrms fscm environments rhel oracle 12c peoplesoft internet architecture pia unix file systems batch migration peoplesoft dev test prod instances analysis production issues solutions ddd audit sys audit alter audits compare peopletools patches upgrade certificates peoplesoft refreshes pum nodes status peoplesoft security disk space issues scheduler issues performance databases multiple domains across instances tuxedo scheduler database administration performance database requirements database default temporary spaces quotas roles privileges logical backups logical incremental backups exp imp backups cold backups hot backups control files performance datapump create database roles permissions log file database errors alter log files trace files database load webserver change assistant apply pum image relevent april hcm fscm peoplesoft dba basis peoplesoft database administrator hcm environments oracle peoplesoft dba hcm environments rhel oracle peoplesoft internet architecture pia unix file systems batch migration peoplesoft dev test prod instances analysis production issues solutions ddd audit sys audit alter audits compare rman configuration backup scheduler issues performance databases multiple domains across instances tuxedo scheduler database administration performance database requirements database default temporary spaces quotas roles privileges logical backups logical incremental backups exp imp backups cold backups hot backups control files performance peoplesoft refreshes datapump create database roles permissions log file database errors alter log files trace files database load database refreshes imports exports backups change assistant apply pum image releventexperience roles oracle versions broker setup patches bundles tax updates change assistant peoplesoft update manager pum upgrade cobol compilation windows migration migration broker setup database patches database database security roles hot cold backups developer issues passwords size file spaces files spaces control files peoplesoft refreshes datapump create database roles permissions database load database refreshes change assistant apply pum image migration peoplesoft dev test prod instances ddd audit sys audit alter audits compare pastexperience roles hcm fscm peoplesoft dba basis peoplesoft database administrator hcm environments oracle peoplesoft dba hcm environments rhel oracle peoplesoft internet architecture pia unix file systems batch migration peoplesoft dev test prod instances analysis production issues solutions ddd audit sys audit alter audits compare rman configuration backup scheduler issues performance databases multiple domains across instances tuxedo scheduler database administration performance database requirements database default temporary spaces quotas roles privileges logical backups logical incremental backups exp imp backups cold backups hot backups control files performance peoplesoft refreshes datapump create database roles permissions log file database errors alter log files trace files database load database refreshes imports exports backups change assistant apply pum image past roles domains scheduler domains pia pia instances demo dev test config stg prod databases databases demo dev test config production databases unix migration peoplesoft objects performance databases multiple domains across instances documentation installation configurations databases configuration broker gateway nodes hrms finance install books hrms financials load database refreshes imports exports backups node configurations dddaudit sysaudit alter audit migrations migrations compare scheduler issues performance databases multiple domains across instances domains scheduler domains domains setup security roles permission lists peoplesoft test synchronisation production fixes patches bundles peoplesoft peoplesoft pum database refreshes imports exports backups logical backups pump erp changeassistant integrationbroker applicationdesigner configuration manager peoplesoft update manager pum mover peoplesoft hrms fscm crm tuxedo logic systems windows hat enterprise linux oracle enterprise linux database oracle 12c peoplesoft admin goldman sach duration peoplesoft database admin version hrms fscm version pt pt database oracle peoplesoft admin pps mcc arp cot duration peoplesoft database admin version hrms fscm version pt database oracle peoplesoft admin nabard duration peoplesoft database admin version hrms fscm version pt database oracle peoplesoft admin cdi corporation duration peoplesoft admin version hrms fscm version pt database implementation configure production peoplesoft databases perkin elmer duration nov peoplesoft admin version fscm version pt database,7+ years,"['change assistant', 'cobol', 'data mover', 'ib', 'integration broker', 'linux', 'oracle', 'oracle 10g', 'oracle 12c', 'peoplesoft hrms', 'peoplesoft security', 'peopletools', 'pia', 'process scheduler', 'tuxedo', 'unix', 'windows']"
Peoplesoft,peoplesoft admin peoplesoft dba ganesh alladi total years valid expertise admin peoplesoft dba hope enhance set value enable implementation solutions aid needs interests motivations deliver time budget quality value agility quality reliability years peoplesoft implementation peopletools upgrades upgrades configuration migrations maintenance administration domains scheduler domains pum ses upgrades extensively performance issues secure ssl administration monitor shell scripts oracle database administration health check peoplesoft environments peoplesoft database refreshes production environments hp_ux windows administration peoplesoft internet architecture pia demo test production instances peoplesoft installations peopletools hcm weblogic tuxedo books hp_ux windows peoplesoft installations peopletools hcm weblogic tuxedo books windows oracle enterprise linux peoplesoft installations peopletools fscm weblogic books windows oracle enterprise linux peoplesoft installations peopletools hcm weblogic tuxedo oracle books windows oracle enterprise linux depth peoplesoft update manager pum peopletools patches bundles peopletools hrms fscm depth setup secure socket layer ssl implementation peoplesoft proficiency creation configuration administration domains scheduler domains domains reconfiguration domains scheduler domains domains migrations designer quest stat tool migrations mover pre_compare post compare environments station developers testers developer issues passwords accounts maintain workflow peoplesoft patches bundles tax updates change assistant peoplesoft update manager pum change assistant apply bundles tax_updates setup configuration broker financials hcm integrity internal consistency database dddaudit sysaudit alteraudit periodically cache domains domains scheduler regular basis monitor log files find bottleneck status domains scheduler domains domains regularly database peoplesoft instances cobol software compilation domains scheduler domains domains depth peoplesoft database performance guard database peoplesoft database refreshes rman player proven individual contributor area technical educational qualification hyderabad peoplesoft administrator peoplesoft dba dxc ltd peoplesoft administrator peoplesoft dba san solutions pvt ltd dba san solutions pvt ltd achievement canara bank install configure production peoplesoft databases oracle tuxedo oracle weblogic hp_ux windows peoplesoft admin peoplesoft dba duration roles peoplesoft implementation peopletools upgrades upgrades configuration maintenance administration domains scheduler domains extensively performance issues daily health check peoplesoft environments environments guard database cobol software compilation cobol peoplesoft database refreshes rman proficiency creation configuration administration domains scheduler domains domains reconfiguration domains scheduler domains domains domains scheduler domains domains migrations designer pre_compare post compare environments station developers testers extensively developer issues passwords accounts database activities standalone rac datafiles database test dev prod environments broker setup loadbalancer activities activities arizona state phoenix install configure production peoplesoft databases oracle oracle weblogic windows oracle enterprise linux peoplesoft admin peoplesoft dba duration roles build verification test check proper installation peoplesoft components object migration different instances compare objects etc implementation peoplesoft internet architecture pia batch security tasks new roles permission lists privileges tasks patches fixes workstation peoplesoft developers peopletools designer mover nvision scheduler psadmin utility migration peoplesoft dev test prod instances analysis production issues solutions node configurations migrations migrations compare patches tax updates environments maintains customizations peoplesoft patches bundles tax updates change assistant peoplesoft update manager pum change assistant apply bundles tax_updates tax updates patches demo dev test production environments scheduler issues performance databases multiple domains across instances domains scheduler domains domains configure https secure ssl administration setup load balancer configuration setups master scheduler set high availability systems migration pump mover utilities load setup security roles permission lists peoplesoft test synchronisation production integrity internal consistency database dddaudit sysaudit alteraudit periodically production cache regular basis maintenance books access books nodes settings compare environments issues resolutions feedback erp peopletools change assistant broker designer configuration manager peoplesoft update manager pum ses mover peoplesoft hrms fscm crm tuxedo 12c 12c logic systems windows redhat enterprise linux oracle enterprise linux hp_ux database oracle sql,6.4 years,"['application designer', 'change assistant', 'cobol', 'data mover', 'integration broker', 'linux', 'nvision', 'oracle', 'oracle 10g', 'oracle 11g', 'oracle 12c', 'peoplesoft hrms', 'peopletools', 'pia', 'process scheduler', 'sql', 'tuxedo', 'windows']"
